[mandelbrot serial]:		[592.798] ms
Wrote image file mandelbrot-serial.ppm
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
[mandelbrot thread]:		[308.635] ms
Wrote image file mandelbrot-thread.ppm
Mismatch : [698][415], Expected : 189, Actual : 190
Mismatch : [698][420], Expected : 164, Actual : 155
Mismatch : [698][647], Expected : 77, Actual : 76
Mismatch : [698][670], Expected : 256, Actual : 194
Mismatch : [698][1267], Expected : 137, Actual : 140
Mismatch : [699][412], Expected : 149, Actual : 150
Mismatch : [699][418], Expected : 105, Actual : 103
Mismatch : [699][419], Expected : 232, Actual : 222
Mismatch : [699][421], Expected : 178, Actual : 176
Mismatch : [699][423], Expected : 90, Actual : 89
Mismatch : [699][425], Expected : 256, Actual : 245
Mismatch : [699][635], Expected : 236, Actual : 237
Mismatch : [699][638], Expected : 188, Actual : 189
Mismatch : [699][640], Expected : 115, Actual : 116
Mismatch : [699][644], Expected : 55, Actual : 54
Mismatch : [699][1267], Expected : 121, Actual : 249
Mismatch : [700][413], Expected : 122, Actual : 137
Mismatch : [700][415], Expected : 102, Actual : 101
Mismatch : [700][416], Expected : 256, Actual : 247
Mismatch : [700][417], Expected : 117, Actual : 111
Mismatch : [700][635], Expected : 203, Actual : 199
Mismatch : [700][641], Expected : 144, Actual : 143
Mismatch : [700][672], Expected : 139, Actual : 137
Mismatch : [700][674], Expected : 181, Actual : 186
Mismatch : [700][1268], Expected : 159, Actual : 160
Mismatch : [701][410], Expected : 120, Actual : 119
Mismatch : [701][417], Expected : 70, Actual : 69
Mismatch : [701][640], Expected : 149, Actual : 147
Mismatch : [702][411], Expected : 125, Actual : 128
Mismatch : [702][420], Expected : 168, Actual : 195
Mismatch : [702][421], Expected : 192, Actual : 196
Mismatch : [702][430], Expected : 256, Actual : 192
Mismatch : [702][674], Expected : 255, Actual : 254
Mismatch : [702][1270], Expected : 205, Actual : 100
Mismatch : [703][403], Expected : 52, Actual : 51
Mismatch : [703][404], Expected : 105, Actual : 139
Mismatch : [703][411], Expected : 116, Actual : 117
Mismatch : [703][429], Expected : 119, Actual : 118
Mismatch : [703][433], Expected : 67, Actual : 66
Mismatch : [703][633], Expected : 126, Actual : 127
Mismatch : [703][634], Expected : 256, Actual : 180
Mismatch : [703][642], Expected : 81, Actual : 82
Mismatch : [704][1268], Expected : 104, Actual : 105
Mismatch : [704][1273], Expected : 148, Actual : 132
Mismatch : [705][435], Expected : 177, Actual : 181
Mismatch : [705][630], Expected : 179, Actual : 178
Mismatch : [705][672], Expected : 205, Actual : 189
Mismatch : [705][1272], Expected : 234, Actual : 232
Mismatch : [706][393], Expected : 46, Actual : 45
Mismatch : [706][414], Expected : 124, Actual : 150
Mismatch : [706][632], Expected : 256, Actual : 218
Mismatch : [706][640], Expected : 80, Actual : 82
Mismatch : [706][1273], Expected : 245, Actual : 256
Mismatch : [707][407], Expected : 70, Actual : 73
Mismatch : [707][409], Expected : 48, Actual : 49
Mismatch : [707][433], Expected : 146, Actual : 145
Mismatch : [707][633], Expected : 175, Actual : 256
Mismatch : [707][1270], Expected : 240, Actual : 242
Mismatch : [708][674], Expected : 189, Actual : 226
Mismatch : [708][1266], Expected : 122, Actual : 123
Mismatch : [708][1271], Expected : 117, Actual : 116
Mismatch : [709][415], Expected : 61, Actual : 62
Mismatch : [709][430], Expected : 118, Actual : 133
Mismatch : [709][1269], Expected : 201, Actual : 202
Mismatch : [710][431], Expected : 109, Actual : 111
Mismatch : [710][434], Expected : 199, Actual : 201
Mismatch : [710][633], Expected : 174, Actual : 170
Mismatch : [710][635], Expected : 172, Actual : 169
Mismatch : [710][642], Expected : 100, Actual : 101
Mismatch : [710][1271], Expected : 150, Actual : 149
Mismatch : [711][441], Expected : 256, Actual : 233
Mismatch : [711][624], Expected : 156, Actual : 157
Mismatch : [711][631], Expected : 156, Actual : 160
Mismatch : [711][668], Expected : 130, Actual : 131
Mismatch : [711][674], Expected : 78, Actual : 79
Mismatch : [712][412], Expected : 61, Actual : 60
Mismatch : [712][433], Expected : 195, Actual : 198
Mismatch : [712][435], Expected : 148, Actual : 149
Mismatch : [712][436], Expected : 249, Actual : 255
Mismatch : [712][439], Expected : 177, Actual : 180
Mismatch : [712][629], Expected : 190, Actual : 137
Mismatch : [712][677], Expected : 246, Actual : 247
Mismatch : [712][1267], Expected : 166, Actual : 167
Mismatch : [713][411], Expected : 80, Actual : 110
Mismatch : [713][433], Expected : 180, Actual : 208
Mismatch : [713][672], Expected : 256, Actual : 178
Mismatch : [714][436], Expected : 256, Actual : 202
Mismatch : [714][633], Expected : 194, Actual : 118
Mismatch : [714][674], Expected : 256, Actual : 252
Mismatch : [714][677], Expected : 194, Actual : 195
Mismatch : [714][1270], Expected : 178, Actual : 241
Mismatch : [715][430], Expected : 86, Actual : 87
Mismatch : [715][432], Expected : 120, Actual : 121
Mismatch : [715][441], Expected : 169, Actual : 167
Mismatch : [715][444], Expected : 251, Actual : 255
Mismatch : [715][672], Expected : 97, Actual : 96
Mismatch : [715][680], Expected : 159, Actual : 160
Mismatch : [716][384], Expected : 49, Actual : 46
Mismatch : [716][680], Expected : 219, Actual : 256
Mismatch : [717][434], Expected : 115, Actual : 157
Mismatch : [717][442], Expected : 140, Actual : 134
Mismatch : [717][633], Expected : 167, Actual : 116
Mismatch : [717][1268], Expected : 238, Actual : 237
Mismatch : [717][1281], Expected : 125, Actual : 114
Mismatch : [718][425], Expected : 120, Actual : 111
Mismatch : [718][444], Expected : 159, Actual : 166
Mismatch : [718][448], Expected : 124, Actual : 125
Mismatch : [718][674], Expected : 225, Actual : 242
Mismatch : [719][443], Expected : 256, Actual : 249
Mismatch : [719][1278], Expected : 130, Actual : 129
Mismatch : [720][450], Expected : 114, Actual : 113
Mismatch : [720][615], Expected : 171, Actual : 172
Mismatch : [720][1272], Expected : 256, Actual : 228
Mismatch : [720][1277], Expected : 153, Actual : 117
Mismatch : [720][1278], Expected : 186, Actual : 165
Mismatch : [720][1300], Expected : 54, Actual : 47
Mismatch : [721][621], Expected : 141, Actual : 256
Mismatch : [721][622], Expected : 170, Actual : 171
Mismatch : [721][1276], Expected : 256, Actual : 144
Mismatch : [722][630], Expected : 86, Actual : 88
Mismatch : [722][678], Expected : 96, Actual : 97
Mismatch : [722][679], Expected : 232, Actual : 256
Mismatch : [722][1278], Expected : 131, Actual : 132
Mismatch : [723][452], Expected : 183, Actual : 202
Mismatch : [723][613], Expected : 247, Actual : 256
Mismatch : [723][615], Expected : 148, Actual : 147
Mismatch : [723][621], Expected : 255, Actual : 252
Mismatch : [723][631], Expected : 53, Actual : 52
Mismatch : [723][677], Expected : 159, Actual : 157
Mismatch : [723][678], Expected : 256, Actual : 191
Mismatch : [724][618], Expected : 191, Actual : 192
Mismatch : [724][620], Expected : 196, Actual : 197
Mismatch : [724][621], Expected : 98, Actual : 95
Mismatch : [724][671], Expected : 155, Actual : 157
Mismatch : [724][1267], Expected : 199, Actual : 256
Mismatch : [724][1295], Expected : 121, Actual : 96
Mismatch : [724][1296], Expected : 56, Actual : 57
Mismatch : [725][458], Expected : 146, Actual : 145
Mismatch : [725][611], Expected : 222, Actual : 217
Mismatch : [725][673], Expected : 184, Actual : 256
Mismatch : [725][1284], Expected : 151, Actual : 147
Mismatch : [725][1286], Expected : 101, Actual : 103
Mismatch : [725][1287], Expected : 65, Actual : 70
Mismatch : [725][1292], Expected : 131, Actual : 108
Mismatch : [726][448], Expected : 69, Actual : 68
Mismatch : [726][454], Expected : 112, Actual : 111
Mismatch : [726][626], Expected : 111, Actual : 118
Mismatch : [726][672], Expected : 118, Actual : 126
Mismatch : [726][674], Expected : 223, Actual : 222
Mismatch : [726][1285], Expected : 227, Actual : 256
Mismatch : [726][1286], Expected : 177, Actual : 154
Mismatch : [727][455], Expected : 66, Actual : 65
Mismatch : [727][624], Expected : 133, Actual : 131
Mismatch : [727][670], Expected : 75, Actual : 74
Mismatch : [727][678], Expected : 250, Actual : 256
Mismatch : [727][1293], Expected : 73, Actual : 74
Mismatch : [728][676], Expected : 226, Actual : 225
Mismatch : [729][453], Expected : 142, Actual : 141
Mismatch : [730][450], Expected : 157, Actual : 160
Mismatch : [730][623], Expected : 79, Actual : 78
Mismatch : [730][1285], Expected : 256, Actual : 142
Mismatch : [731][448], Expected : 256, Actual : 186
Mismatch : [731][676], Expected : 183, Actual : 182
Mismatch : [731][1282], Expected : 131, Actual : 175
Mismatch : [731][1284], Expected : 103, Actual : 108
Mismatch : [733][443], Expected : 92, Actual : 94
Mismatch : [733][609], Expected : 125, Actual : 146
Mismatch : [734][678], Expected : 190, Actual : 183
Mismatch : [734][683], Expected : 255, Actual : 256
Mismatch : [734][1286], Expected : 102, Actual : 103
Mismatch : [735][445], Expected : 91, Actual : 90
Mismatch : [735][597], Expected : 242, Actual : 256
Mismatch : [735][678], Expected : 100, Actual : 99
Mismatch : [735][1283], Expected : 189, Actual : 161
Mismatch : [736][442], Expected : 186, Actual : 157
Mismatch : [736][610], Expected : 56, Actual : 57
Mismatch : [736][1299], Expected : 38, Actual : 37
Mismatch : [737][444], Expected : 173, Actual : 172
Mismatch : [737][623], Expected : 62, Actual : 61
Mismatch : [737][1297], Expected : 101, Actual : 134
Mismatch : [738][445], Expected : 198, Actual : 183
Mismatch : [738][616], Expected : 88, Actual : 127
Mismatch : [738][1281], Expected : 212, Actual : 171
Mismatch : [739][441], Expected : 235, Actual : 178
Mismatch : [739][478], Expected : 178, Actual : 169
Mismatch : [739][624], Expected : 121, Actual : 79
Mismatch : [739][679], Expected : 185, Actual : 178
Mismatch : [739][682], Expected : 256, Actual : 210
Mismatch : [739][1282], Expected : 123, Actual : 136
Mismatch : [739][1284], Expected : 86, Actual : 81
Mismatch : [739][1296], Expected : 51, Actual : 52
Mismatch : [740][445], Expected : 165, Actual : 164
Mismatch : [740][475], Expected : 234, Actual : 134
Mismatch : [740][481], Expected : 187, Actual : 188
Mismatch : [740][611], Expected : 90, Actual : 75
Mismatch : [740][676], Expected : 129, Actual : 125
Mismatch : [740][677], Expected : 236, Actual : 127
Mismatch : [741][480], Expected : 225, Actual : 224
Mismatch : [741][483], Expected : 114, Actual : 109
Mismatch : [741][586], Expected : 118, Actual : 120
Mismatch : [741][589], Expected : 179, Actual : 180
Mismatch : [741][590], Expected : 196, Actual : 195
Mismatch : [741][602], Expected : 127, Actual : 117
Mismatch : [741][603], Expected : 101, Actual : 103
Mismatch : [756][446], Expected : 44, Actual : 45
Mismatch : [756][471], Expected : 149, Actual : 166
Mismatch : [756][474], Expected : 129, Actual : 137
Mismatch : [756][525], Expected : 128, Actual : 132
Mismatch : [756][554], Expected : 92, Actual : 96
Mismatch : [756][560], Expected : 228, Actual : 256
Mismatch : [756][577], Expected : 101, Actual : 100
Mismatch : [756][584], Expected : 76, Actual : 77
Mismatch : [756][679], Expected : 132, Actual : 131
Mismatch : [756][690], Expected : 248, Actual : 256
Mismatch : [756][1271], Expected : 256, Actual : 174
Mismatch : [757][498], Expected : 115, Actual : 114
Mismatch : [757][502], Expected : 179, Actual : 256
Mismatch : [757][504], Expected : 170, Actual : 154
Mismatch : [757][543], Expected : 142, Actual : 144
Mismatch : [757][556], Expected : 137, Actual : 132
Mismatch : [757][571], Expected : 245, Actual : 192
Mismatch : [757][578], Expected : 133, Actual : 131
Mismatch : [757][681], Expected : 109, Actual : 114
Mismatch : [757][691], Expected : 256, Actual : 203
Mismatch : [757][693], Expected : 204, Actual : 203
Mismatch : [757][1276], Expected : 57, Actual : 56
Mismatch : [758][476], Expected : 170, Actual : 159
Mismatch : [758][501], Expected : 221, Actual : 237
Mismatch : [758][525], Expected : 148, Actual : 147
Mismatch : [758][557], Expected : 145, Actual : 138
Mismatch : [758][569], Expected : 128, Actual : 127
Mismatch : [758][572], Expected : 133, Actual : 118
Mismatch : [758][574], Expected : 67, Actual : 68
Mismatch : [758][581], Expected : 202, Actual : 201
Mismatch : [758][585], Expected : 164, Actual : 165
Mismatch : [758][586], Expected : 65, Actual : 64
Mismatch : [758][1271], Expected : 138, Actual : 155
Mismatch : [758][1275], Expected : 158, Actual : 247
Mismatch : [759][449], Expected : 174, Actual : 256
Mismatch : [759][519], Expected : 191, Actual : 207
Mismatch : [759][544], Expected : 256, Actual : 236
Mismatch : [759][545], Expected : 117, Actual : 166
Mismatch : [759][1272], Expected : 123, Actual : 122
Mismatch : [760][448], Expected : 193, Actual : 199
Mismatch : [760][504], Expected : 73, Actual : 64
Mismatch : [760][520], Expected : 136, Actual : 124
Mismatch : [760][1273], Expected : 160, Actual : 161
Mismatch : [760][1277], Expected : 218, Actual : 106
Mismatch : [761][449], Expected : 217, Actual : 213
Mismatch : [761][458], Expected : 176, Actual : 175
Mismatch : [761][460], Expected : 156, Actual : 127
Mismatch : [761][501], Expected : 139, Actual : 102
Mismatch : [761][524], Expected : 118, Actual : 117
Mismatch : [761][542], Expected : 156, Actual : 154
Mismatch : [761][578], Expected : 133, Actual : 131
Mismatch : [761][691], Expected : 148, Actual : 147
Mismatch : [761][1279], Expected : 93, Actual : 92
Mismatch : [762][438], Expected : 114, Actual : 84
Mismatch : [762][462], Expected : 229, Actual : 237
Mismatch : [762][469], Expected : 79, Actual : 78
Mismatch : [762][498], Expected : 159, Actual : 104
Mismatch : [762][503], Expected : 129, Actual : 125
Mismatch : [762][547], Expected : 65, Actual : 66
Mismatch : [762][554], Expected : 87, Actual : 62
Mismatch : [762][579], Expected : 141, Actual : 143
Mismatch : [762][688], Expected : 196, Actual : 195
Mismatch : [763][457], Expected : 149, Actual : 168
Mismatch : [763][462], Expected : 118, Actual : 120
Mismatch : [763][494], Expected : 55, Actual : 56
Mismatch : [763][496], Expected : 69, Actual : 68
Mismatch : [763][503], Expected : 74, Actual : 72
Mismatch : [763][600], Expected : 58, Actual : 56
Mismatch : [763][686], Expected : 114, Actual : 113
Mismatch : [763][687], Expected : 154, Actual : 163
Mismatch : [764][455], Expected : 210, Actual : 212
Mismatch : [764][461], Expected : 125, Actual : 152
Mismatch : [764][471], Expected : 58, Actual : 57
Mismatch : [764][493], Expected : 114, Actual : 134
Mismatch : [764][543], Expected : 250, Actual : 256
Mismatch : [764][579], Expected : 96, Actual : 94
Mismatch : [764][686], Expected : 211, Actual : 162
Mismatch : [764][1268], Expected : 156, Actual : 158
Mismatch : [764][1269], Expected : 147, Actual : 136
Mismatch : [764][1270], Expected : 200, Actual : 171
Mismatch : [765][457], Expected : 82, Actual : 81
Mismatch : [765][460], Expected : 93, Actual : 92
Mismatch : [765][522], Expected : 100, Actual : 80
Mismatch : [765][541], Expected : 155, Actual : 150
Mismatch : [765][579], Expected : 82, Actual : 84
